date,holding,name,close,daily_ret%,nav
2026-03-23,511880,货币ETF,100.279,-3.20,36.9608
2026-03-24,512890,红利低波ETF,1.178,-0.02,36.9549
2026-03-25,512890,红利低波ETF,1.188,+0.85,37.2686
2026-03-26,512890,红利低波ETF,1.185,-0.25,37.1745
2026-03-27,512890,红利低波ETF,1.183,-0.17,37.1117
2026-03-30,512890,红利低波ETF,1.193,+0.85,37.4254
2026-03-31,513120,港股创新药ETF,1.215,+0.40,37.5748
2026-04-01,513120,港股创新药ETF,1.303,+7.24,40.2962
2026-04-02,513120,港股创新药ETF,1.302,-0.08,40.2653
2026-04-03,513120,港股创新药ETF,1.284,-1.38,39.7087
2026-04-07,513120,港股创新药ETF,1.292,+0.62,39.9561
2026-04-08,513120,港股创新药ETF,1.300,+0.62,40.2035
2026-04-09,513120,港股创新药ETF,1.276,-1.85,39.4612
2026-04-10,513120,港股创新药ETF,1.282,+0.47,39.6468
2026-04-13,513120,港股创新药ETF,1.272,-0.78,39.3375
2026-04-14,513120,港股创新药ETF,1.281,+0.71,39.6159
2026-04-15,513120,港股创新药ETF,1.328,+3.67,41.0694
2026-04-16,513120,港股创新药ETF,1.335,+0.53,41.2859
2026-04-17,513120,港股创新药ETF,1.314,-1.57,40.6364
2026-04-20,513120,港股创新药ETF,1.311,-0.23,40.5436
2026-04-21,513120,港股创新药ETF,1.297,-1.07,40.1107
2026-04-22,159915,创业板ETF,3.758,-1.02,39.7007
2026-04-23,159915,创业板ETF,3.728,-0.80,39.3838
2026-04-24,159915,创业板ETF,3.674,-1.45,38.8133
2026-04-27,588080,科创50ETF,1.544,-0.62,38.5732
2026-04-28,588080,科创50ETF,1.520,-1.55,37.9736
2026-04-29,588080,科创50ETF,1.526,+0.39,38.1235
2026-04-30,588080,科创50ETF,1.603,+5.05,40.0472
2026-05-06,588080,科创50ETF,1.691,+5.49,42.2456
2026-05-07,588080,科创50ETF,1.715,+1.42,42.8452
2026-05-08,588080,科创50ETF,1.677,-2.22,41.8959
2026-05-11,588080,科创50ETF,1.754,+4.59,43.8195
2026-05-12,588080,科创50ETF,1.761,+0.40,43.9944
2026-05-13,588080,科创50ETF,1.808,+2.67,45.1686
2026-05-14,588080,科创50ETF,1.762,-2.54,44.0194
2026-05-15,588080,科创50ETF,1.733,-1.65,43.2949
2026-05-18,588080,科创50ETF,1.747,+0.81,43.6446
2026-05-19,588080,科创50ETF,1.815,+3.89,45.3435
2026-05-20,588080,科创50ETF,1.870,+3.03,46.7175
2026-05-21,588080,科创50ETF,1.804,-3.53,45.0687
2026-05-22,588080,科创50ETF,1.830,+1.44,45.7182
2026-05-25,588080,科创50ETF,1.936,+5.79,48.3664
2026-05-26,588080,科创50ETF,1.913,-1.19,47.7918
2026-05-27,588080,科创50ETF,1.857,-2.93,46.3927
2026-05-28,588080,科创50ETF,1.884,+1.45,47.0673
2026-05-29,513100,纳指ETF,2.273,-4.96,44.7349
2026-06-01,513100,纳指ETF,2.365,+4.05,46.5456
2026-06-02,513100,纳指ETF,2.343,-0.93,46.1126
2026-06-03,513100,纳指ETF,2.299,-1.88,45.2466
2026-06-04,513100,纳指ETF,2.240,-2.57,44.0855
2026-06-05,513100,纳指ETF,2.205,-1.56,43.3966
2026-06-08,513100,纳指ETF,2.114,-4.13,41.6057
2026-06-09,513100,纳指ETF,2.200,+4.07,43.2982
2026-06-10,513100,纳指ETF,2.143,-2.59,42.1764
2026-06-11,513100,纳指ETF,2.130,-0.61,41.9206
2026-06-12,513100,纳指ETF,2.162,+1.50,42.5503
2026-06-15,513100,纳指ETF,2.258,+4.44,44.4397
2026-06-16,513100,纳指ETF,2.280,+0.97,44.8727
2026-06-17,513100,纳指ETF,2.279,-0.04,44.8530
2026-06-18,159915,创业板ETF,4.269,-0.59,44.5882
2026-06-22,159915,创业板ETF,4.379,+2.58,45.7372
2026-06-23,159915,创业板ETF,4.210,-3.86,43.9720
2026-06-24,159915,创业板ETF,4.258,+1.14,44.4734
2026-06-25,588080,科创50ETF,2.115,+3.20,45.8951
2026-06-26,588080,科创50ETF,2.078,-1.75,45.0922
2026-06-29,588080,科创50ETF,2.180,+4.91,47.3056
2026-06-30,588080,科创50ETF,2.273,+4.27,49.3237
2026-07-01,588080,科创50ETF,2.218,-2.42,48.1302
2026-07-02,588080,科创50ETF,2.048,-7.66,44.4412
2026-07-03,588080,科创50ETF,2.037,-0.54,44.2025
2026-07-06,588080,科创50ETF,2.054,+0.83,44.5714
2026-07-07,588080,科创50ETF,2.062,+0.39,44.7450
2026-07-08,588080,科创50ETF,2.078,+0.78,45.0922
2026-07-09,588080,科创50ETF,2.259,+8.71,49.0199
2026-07-10,513120,港股创新药ETF,1.185,-5.24,46.4500
2026-07-13,513120,港股创新药ETF,1.163,-1.86,45.5876
2026-07-14,513120,港股创新药ETF,1.174,+0.95,46.0188
2026-07-15,513120,港股创新药ETF,1.223,+4.17,47.9395
2026-07-16,513120,港股创新药ETF,1.203,-1.64,47.1556
2026-07-17,513120,港股创新药ETF,1.128,-6.23,44.2157
2026-07-20,513120,港股创新药ETF,1.174,+4.08,46.0188
2026-07-21,513120,港股创新药ETF,1.177,+0.26,46.1364
2026-07-22,513120,港股创新药ETF,1.188,+0.93,46.5676
2026-07-23,513120,港股创新药ETF,1.194,+0.51,46.8028
2026-07-24,513120,港股创新药ETF,1.169,-2.09,45.8228
2026-07-27,513120,港股创新药ETF,1.177,+0.68,46.1364
2026-07-28,513120,港股创新药ETF,1.160,-1.44,45.4700
2026-07-29,512890,红利低波ETF,1.187,+1.27,46.0488
2026-07-30,513120,港股创新药ETF,1.147,+1.66,46.8153
2026-07-31,512890,红利低波ETF,1.204,+0.68,47.1324
2026-08-03,511880,货币ETF,100.687,-0.10,47.0839
2026-08-04,512890,红利低波ETF,1.176,-0.03,47.0679
2026-08-05,512890,红利低波ETF,1.164,-1.02,46.5876
2026-08-06,512890,红利低波ETF,1.166,+0.17,46.6677
2026-08-07,512400,有色金属ETF,1.985,-0.71,46.3382
2026-08-10,512400,有色金属ETF,2.018,+1.66,47.1086
2026-08-11,513120,港股创新药ETF,1.283,-4.78,44.8585
2026-08-12,512400,有色金属ETF,1.940,-0.80,44.5000
2026-08-13,512400,有色金属ETF,1.869,-3.66,42.8714
2026-08-14,512400,有色金属ETF,1.890,+1.12,43.3531
2026-08-17,512400,有色金属ETF,1.948,+3.07,44.6835
